# CVS $Revision: $ $Author: $ -- Wed May 13 15:00:48 2009 -- reformated by prettylst.pl v1.38 (build 7302)
SOURCELONG:classless	SOURCESHORT:cles
#Original Entry: Andrew Maitland

# CVS $Revision: $ $Author: $ -- Mon Aug 25 14:14:53 2008 -- reformated by prettylst.pl v1.38 (build 7302)
### MAIN SRD SPELLS - REVISED TO MY STANDARDS
###Block: AB
SOURCELONG:Is This It	SOURCESHORT:Is This It	SOURCEDATE:2007-03
Insanity.MOD				CLASSES:Wizardry,Sorcery=7						PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Insect Plague.MOD				CLASSES:Canonry,Wicca ~ Advanced=5				PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry,Advanced Wicca]
Invisibility.MOD				CLASSES:Wizardry,Sorcery=2|Wizardry ~ Basic=2					PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Invisibility (Greater).MOD		CLASSES:Wizardry,Sorcery=4|Wizardry ~ Basic=4					PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Invisibility (Mass).MOD			CLASSES:Wizardry,Sorcery=7						PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Invisibility Purge.MOD			CLASSES:Canonry=3							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry]
Invisibility Sphere.MOD			CLASSES:Wizardry,Sorcery=3|Wizardry ~ Basic=3					PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Iron Body.MOD				CLASSES:Wizardry,Sorcery=8						PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Ironwood.MOD				CLASSES:Wicca ~ Advanced=6					PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wicca]

###Block: JKL

# Spell Name			Classes of caster								Multiple Requirements
Jump.MOD				CLASSES:Wicca ~ Advanced,Wicca=1|Wizardry,Sorcery=1			PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Basic Wicca]
Keen Edge.MOD			CLASSES:Wizardry,Sorcery=3							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Knock.MOD				CLASSES:Wizardry,Sorcery=2							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Know Direction.MOD		CLASSES:Wizardry,Sorcery,Wicca ~ Advanced=0					PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Advanced Wicca]
Legend Lore.MOD			CLASSES:Wizardry,Sorcery=4|Wizardry,Sorcery=6						PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Leomund's Secure Shelter.MOD	CLASSES:Wizardry,Sorcery=4|Wizardry ~ Basic=4						PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Leomund's Secret Chest.MOD	CLASSES:Wizardry,Sorcery=5							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Leomund's Tiny Hut.MOD		CLASSES:Wizardry,Sorcery=3|Wizardry ~ Basic=3						PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Leomund's Trap.MOD		CLASSES:Wizardry,Sorcery=2							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Levitate.MOD			CLASSES:Wizardry,Sorcery=2							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Light.MOD				CLASSES:Wizardry,Sorcery,Canonry,Wicca ~ Advanced=0|Wizardry,Sorcery=0	PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Advanced Canonry,Advanced Wicca]
Lightning Bolt.MOD		CLASSES:Wizardry,Sorcery=3							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Limited Wish.MOD			CLASSES:Wizardry,Sorcery=7							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Liveoak.MOD				CLASSES:Wicca ~ Advanced=6						PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wicca]
Locate Creature.MOD		CLASSES:Wizardry,Sorcery=4|Wizardry ~ Basic=4						PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Locate Object.MOD			CLASSES:Wizardry,Sorcery=2|Wizardry ~ Basic=2|Canonry=3				PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Advanced Canonry]
Longstrider.MOD			CLASSES:Wicca ~ Advanced,Wicca=1					PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wicca]
Lullaby.MOD				CLASSES:Wizardry,Sorcery=0							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]

###Block: M

# Spell Name					Classes of caster								Components	Multiple Requirements
Mage Armor.MOD					CLASSES:Wizardry,Sorcery=1									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Mage Hand.MOD					CLASSES:Wizardry,Sorcery=0|Wizardry ~ Basic=0								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Magic Circle against Chaos.MOD		CLASSES:Canonry,Canonry ~ Basics=3|Wizardry,Sorcery=3					PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Basic Canonry]
Magic Circle against Evil.MOD			CLASSES:Canonry,Canonry ~ Basics=3|Wizardry,Sorcery=3					PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Basic Canonry]
Magic Circle against Good.MOD			CLASSES:Canonry,Sorcerer,Wizardry,Sorcery=3							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Canonry]
Magic Circle against Law.MOD			CLASSES:Canonry=3|Wizardry,Sorcery=3								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Canonry]
Magic Fang.MOD					CLASSES:Wicca ~ Advanced,Wicca=1							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wicca]
Magic Fang (Greater).MOD			CLASSES:Wicca ~ Advanced,Wicca=3							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wicca]
Magic Jar.MOD					CLASSES:Wizardry,Sorcery=5									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Magic Missile.MOD					CLASSES:Wizardry,Sorcery=1									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Magic Mouth.MOD					CLASSES:Wizardry,Sorcery=1|Wizardry ~ Basic=2								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Magic Stone.MOD					CLASSES:Canonry,Wicca ~ Advanced=1							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry,Advanced Wicca]
Magic Vestment.MOD				CLASSES:Canonry=3										PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry]
Magic Weapon.MOD					CLASSES:Canonry,Canonry ~ Basics=1|Wizardry,Sorcery=1					PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Basic Canonry]
Magic Weapon (Greater).MOD			CLASSES:Canonry ~ Basics=3|Wizardry,Sorcery=3|Canonry=4					PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Basic Canonry]
Major Creation.MOD				CLASSES:Wizardry,Sorcery=5									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Major Image.MOD					CLASSES:Wizardry,Sorcery=3|Wizardry ~ Basic=3								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Make Whole.MOD					CLASSES:Canonry=2										PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry]
Mark of Justice.MOD				CLASSES:Canonry ~ Basics=4|Canonry=5						PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Canonry]
Maze.MOD						CLASSES:Wizardry,Sorcery=8									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Meld into Stone.MOD				CLASSES:Canonry,Wicca ~ Advanced=3							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry,Advanced Wicca]
Melf's Acid Arrow.MOD				CLASSES:Wizardry,Sorcery=2									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Mending.MOD						CLASSES:Wizardry ~ Basic,Canonry,Wicca ~ Advanced=0|Wizardry,Sorcery=0			PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Advanced Canonry,Advanced Wicca]
Message.MOD						CLASSES:Wizardry ~ Basic=0|Wizardry,Sorcery=0								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Meteor Swarm.MOD					CLASSES:Wizardry,Sorcery=9									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Mind Blank.MOD					CLASSES:Wizardry,Sorcery=8									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Mind Fog.MOD					CLASSES:Wizardry,Sorcery=5|Wizardry,Sorcery=5								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Minor Creation.MOD				CLASSES:Wizardry,Sorcery=4									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Minor Image.MOD					CLASSES:Wizardry,Sorcery=2|Wizardry ~ Basic=2								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Miracle.MOD						CLASSES:Canonry=9										PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry]
Mirage Arcana.MOD					CLASSES:Wizardry,Sorcery=5|Wizardry,Sorcery=5								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Mirror Image.MOD					CLASSES:Wizardry,Sorcery=2|Wizardry ~ Basic=2								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Misdirection.MOD					CLASSES:Wizardry,Sorcery=2|Wizardry ~ Basic=2								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Mislead.MOD						CLASSES:Wizardry,Sorcery=5|Wizardry,Sorcery=6						COMPS:S
Modify Memory.MOD					CLASSES:Wizardry,Sorcery=4									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Moment of Prescience.MOD			CLASSES:Wizardry,Sorcery=8									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Mordenkainen's Disjunction.MOD		CLASSES:Wizardry,Sorcery=9									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Mordenkainen's Faithful Hound.MOD		CLASSES:Wizardry,Sorcery=5									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Mordenkainen's Lucubration.MOD		CLASSES:Wizardry,Sorcery=6									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Mordenkainen's Magnificient Mansion.MOD	CLASSES:Wizardry,Sorcery=7									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Mordenkainen's Private Sanctum.MOD		CLASSES:Wizardry,Sorcery=5									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Mordenkainen's Sword.MOD			CLASSES:Wizardry,Sorcery=7									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Mount.MOD						CLASSES:Wizardry,Sorcery=1									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Move Earth.MOD					CLASSES:Wicca ~ Advanced=6|Wizardry,Sorcery=6						PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Wicca]

###Block: NOP

# Spell Name				Classes of caster										Multiple Requirements													Description						Source Page
Neutralize Poison.MOD			CLASSES:Wicca ~ Advanced,Wicca=3|Wizardry ~ Basic,Canonry,Canonry ~ Basics=4	PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Basic Wicca,Basic Canonry]
Nightmare.MOD				CLASSES:Wizardry,Sorcery=5|Wizardry,Sorcery=5								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Nondetection.MOD				CLASSES:Wicca=4|Sorcerer,Wizardry,Sorcery=3							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Basic Wicca]
Nystul's Magic Aura.MOD			CLASSES:Wizardry,Sorcery=1|Wizardry ~ Basic=1								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Obscure Object.MOD			CLASSES:Wizardry,Sorcery=1|Wizardry ~ Basic=2|Canonry=3						PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Advanced Canonry]
Obscuring Mist.MOD			CLASSES:Canonry,Wicca ~ Advanced=1|Wizardry,Sorcery=1					PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Canonry,Advanced Wicca]
Open/Close.MOD				CLASSES:Wizardry,Sorcery=0|Wizardry ~ Basic=0								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Otiluke's Freezing Sphere.MOD		CLASSES:Wizardry,Sorcery=6									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Otiluke's Resilient Sphere.MOD	CLASSES:Wizardry,Sorcery=4									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Otiluke's Telekinetic Sphere.MOD	CLASSES:Wizardry,Sorcery=8									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Otto's Irresistible Dance.MOD		CLASSES:Wizardry ~ Basic=6|Wizardry,Sorcery=8								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Overland Flight.MOD			CLASSES:Wizardry,Sorcery=5									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Owl's Wisdom.MOD				CLASSES:Canonry,Wicca ~ Advanced,Canonry ~ Basics,Wicca=2|Wizardry,Sorcery=2	PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Basic Wicca,Basic Canonry]
Owl's Wisdom (Mass).MOD			CLASSES:Canonry,Wicca ~ Advanced=6|Wizardry,Sorcery=6					PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Canonry,Advanced Wicca]
Pass without Trace.MOD			CLASSES:Wicca ~ Advanced,Wicca=1							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wicca]
Passwall.MOD				CLASSES:Wizardry,Sorcery=5									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Permanency.MOD				CLASSES:Wizardry,Sorcery=5									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Permanent Image.MOD			CLASSES:Wizardry,Sorcery=6|Wizardry,Sorcery=6								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Persistent Image.MOD			CLASSES:Wizardry,Sorcery=5|Wizardry,Sorcery=5								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Phantasmal Killer.MOD			CLASSES:Wizardry,Sorcery=4									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Phantom Steed.MOD				CLASSES:Wizardry,Sorcery=3|Wizardry ~ Basic=3								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Phase Door.MOD				CLASSES:Wizardry,Sorcery=7									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Planar Ally.MOD				CLASSES:Canonry=6										PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry]
Planar Ally (Greater).MOD		CLASSES:Canonry=8										PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry]
Planar Ally (Lesser).MOD		CLASSES:Canonry=4										PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry]
Planar Binding.MOD			CLASSES:Wizardry,Sorcery=6									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Planar Binding (Greater).MOD		CLASSES:Wizardry,Sorcery=8									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Planar Binding (Lesser).MOD		CLASSES:Wizardry,Sorcery=5									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Plane Shift.MOD				CLASSES:Canonry=5|Wizardry,Sorcery=7								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Canonry]
Plant Growth.MOD				CLASSES:Wicca ~ Advanced,Wicca=3							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wicca]
Poison.MOD					CLASSES:Wicca ~ Advanced=3|Canonry=4						PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry,Advanced Wicca]
Polar Ray.MOD				CLASSES:Wizardry,Sorcery=8									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Polymorph.MOD				CLASSES:Wizardry,Sorcery=4									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Polymorph Any Object.MOD		CLASSES:Wizardry,Sorcery=8									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Power Word Blind.MOD			CLASSES:Wizardry,Sorcery=7									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Power Word Kill.MOD			CLASSES:Wizardry,Sorcery=9									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Power Word Stun.MOD			CLASSES:Wizardry,Sorcery=8									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Prayer.MOD					CLASSES:Canonry,Canonry ~ Basics=3							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Canonry]
Prestidigitation.MOD			CLASSES:Wizardry,Sorcery=0|Wizardry ~ Basic=0								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Prismatic Sphere.MOD			CLASSES:Wizardry,Sorcery=9									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Prismatic Spray.MOD			CLASSES:Wizardry,Sorcery=7									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Prismatic Wall.MOD			CLASSES:Wizardry,Sorcery=8									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Produce Flame.MOD				CLASSES:Wicca ~ Advanced=1								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wicca]
Programmed Image.MOD			CLASSES:Wizardry,Sorcery=6|Wizardry,Sorcery=6								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Project Image.MOD				CLASSES:Wizardry ~ Basic=6|Wizardry,Sorcery=7								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Protection from Arrows.MOD		CLASSES:Wizardry,Sorcery=2									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Protection from Chaos.MOD		CLASSES:Canonry,Canonry ~ Basics=1|Wizardry,Sorcery=1					PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Basic Canonry]
Protection from Energy.MOD		CLASSES:Wicca=2|Canonry,Wicca ~ Advanced=3|Wizardry,Sorcery=3				PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Canonry,Basic Wicca]
Protection from Evil.MOD		CLASSES:Canonry,Canonry ~ Basics=1|Wizardry,Sorcery=1					PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Basic Canonry]
Protection from Good.MOD		CLASSES:Canonry=1|Wizardry,Sorcery=1								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Canonry]
Protection from Law.MOD			CLASSES:Canonry=1|Wizardry,Sorcery=1								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Canonry]
Protection from Spells.MOD		CLASSES:Wizardry,Sorcery=8									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Prying Eyes.MOD				CLASSES:Wizardry,Sorcery=5									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Prying Eyes (Greater).MOD		CLASSES:Wizardry,Sorcery=8									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Purify Food and Drink.MOD		CLASSES:Canonry,Wicca ~ Advanced=0							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry,Advanced Wicca]
Pyrotechnics.MOD				CLASSES:Wizardry,Sorcery=2|Wizardry ~ Basic=2								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]

###Block: QR

# Spell Name			Classes of caster												Multiple Requirements
Quench.MOD				CLASSES:Wicca ~ Advanced=3										PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wicca]
Rage.MOD				CLASSES:Wizardry,Sorcery=2|Wizardry,Sorcery=3										PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Basic Sorcery]
Rainbow Pattern.MOD		CLASSES:Wizardry,Sorcery=4|Wizardry,Sorcery=4										PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Basic Sorcery]
Raise Dead.MOD			CLASSES:Canonry=5												PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry]
Rary's Mnemonic Enhancer.MOD	CLASSES:Wizardry,Sorcery=4											PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Rary's Telepathic Bond.MOD	CLASSES:Wizardry,Sorcery=5											PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Ray of Enfeeblement.MOD		CLASSES:Wizardry,Sorcery=1											PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Ray of Exhaustion.MOD		CLASSES:Wizardry,Sorcery=3											PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Ray of Frost.MOD			CLASSES:Wizardry,Sorcery=0											PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Read Magic.MOD			CLASSES:Wizardry,Canonry,Wicca ~ Advanced=0|Wizardry,Sorcery=0|Canonry ~ Basics,Wicca=1	PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Basic Wicca,Basic Canonry]
Reduce Animal.MOD			CLASSES:Wicca ~ Advanced=2|Wicca=3									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wicca]
